"Participant","Event","Valence","E1","eBR","BR","E2","direction","update"
38,24,3,1,1,14,23,"1",-22
38,26,3,100,80,29,100,"-1",0
38,27,3,15,6,45,45,"1",-30
38,28,3,12,23,20,56,"1",-44
38,31,3,70,2,19,10,"-1",60
38,32,3,98,50,33,100,"-1",-2
38,33,3,40,10,15,67,"-1",-27
38,34,3,5,5,80,76,"1",-71
38,35,3,75,56,17,20,"-1",55
38,36,3,50,35,26,30,"-1",20
38,37,3,80,80,30,20,"-1",60
38,38,3,100,80,71,100,"-1",0
38,39,3,75,34,43,23,"-1",52
38,41,3,56,78,17,23,"-1",33
38,42,3,27,30,13,56,"-1",-29
38,43,3,65,59,81,26,"1",39
38,44,3,25,50,19,10,"-1",15
38,47,3,100,10,20,100,"-1",0
38,48,3,45,25,18,40,"-1",5
38,49,3,0,10,11,1,"1",-1
38,50,3,0,20,38,0,"1",0
38,51,3,0,3,26,0,"1",0
39,4,3,100,70,78,100,"-1",0
39,8,3,50,60,75,90,"1",-40
39,12,3,90,90,78,100,"-1",-10
39,24,3,25,25,14,19,"-1",6
39,26,3,100,90,29,100,"-1",0
39,28,3,5,5,20,25,"1",-20
39,33,3,80,70,15,90,"-1",-10
39,37,3,90,90,30,90,"-1",0
